record started at: 04-26-19 12:52:11

file format version: 4
captureMode: Offline
eye resolution: 640x480 scene resolution: 640x480
recordFrameCount sceneFrameCount avg_fps sceneQTtime(d:h:m:s.tv/ts) porQTtime(d:h:m:s.tv/ts) porX porY pupilX pupilY cornealRefX cornealRefY diameterW diameterH
158 158 30.00 0:00:00:05.267/1000 0:00:00:05.234/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
159 158 30.00 0:00:00:05.300/1000 0:00:00:05.267/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
160 160 30.00 0:00:00:05.334/1000 0:00:00:05.300/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
161 161 30.00 0:00:00:05.367/1000 0:00:00:05.334/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
162 161 30.00 0:00:00:05.400/1000 0:00:00:05.367/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
163 163 30.00 0:00:00:05.434/1000 0:00:00:05.400/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
164 164 30.00 0:00:00:05.467/1000 0:00:00:05.434/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
165 164 30.00 0:00:00:05.500/1000 0:00:00:05.467/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
166 166 30.00 0:00:00:05.534/1000 0:00:00:05.500/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
167 167 30.00 0:00:00:05.567/1000 0:00:00:05.534/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
168 167 30.00 0:00:00:05.600/1000 0:00:00:05.567/1000 825.02 -292.34 -1000.00 -1000.00 -1000.00 -1000.00 0.00 0.00 
